ID,Name,Category,Quantity,Price
1,Printer,Accessories,34,988.86
7,Backpack,Accessories,56,979.13
9,Television,Accessories,36,809.42
12,Chair,Accessories,72,839.62
15,USB Cable,Accessories,67,485.66
16,Table,Accessories,92,133.90
24,Game Console,Accessories,33,512.91
25,Blanket,Accessories,91,921.94
26,Smartwatch,Accessories,59,264.70
27,Headphones,Accessories,42,47.43
36,Watch,Accessories,65,795.53
47,Backpack,Accessories,56,432.65
49,Sunglasses,Accessories,54,155.88
52,Tablet,Accessories,92,943.51
53,Fan,Accessories,32,263.21
63,Camera,Accessories,22,669.57
65,Camera,Accessories,80,577.80
70,Keyboard,Accessories,88,904.66
71,Charger,Accessories,64,824.13
73,Flash Drive,Accessories,48,905.21
76,Blanket,Accessories,76,631.40
78,Pants,Accessories,10,762.72
91,Necklace,Accessories,89,24.22
93,Fan,Accessories,46,796.06
95,Hat,Accessories,49,991.17
99,Vase,Accessories,53,824.19
101,Earrings,Accessories,86,144.70
105,Suitcase,Accessories,25,161.73
106,Power Bank,Accessories,97,467.18
113,Smartphone,Accessories,94,890.71
115,Power Bank,Accessories,20,619.60
121,Flash Drive,Accessories,20,646.78
122,Sunglasses,Accessories,54,131.10
123,Clock,Accessories,81,267.76
139,Table,Accessories,70,149.26
146,Hard Drive,Accessories,72,996.31
152,Power Bank,Accessories,12,898.94
160,Hat,Accessories,8,720.75
164,USB Cable,Accessories,93,313.40
165,Handbag,Accessories,89,860.54
173,Earrings,Accessories,87,895.13
174,Mirror,Accessories,30,627.48
177,Printer,Accessories,14,398.42
178,Tablet,Accessories,37,945.29
180,Watch,Accessories,81,188.27
184,USB Cable,Accessories,44,371.59
190,Handbag,Accessories,58,176.27
191,USB Cable,Accessories,59,395.96
195,Blanket,Accessories,65,924.01
196,Hard Drive,Accessories,73,40.58
199,Curtains,Accessories,84,634.83
202,Umbrella,Accessories,100,548.50
205,Power Bank,Accessories,39,181.59
206,Sunglasses,Accessories,56,995.22
208,Pants,Accessories,48,255.21
212,Shoes,Accessories,35,473.39
213,Smartphone,Accessories,42,864.15
218,Keyboard,Accessories,33,472.04
219,Fan,Accessories,65,12.83
226,Backpack,Accessories,40,698.11
229,Lamp,Accessories,77,293.62
