ID,Name,Category,Quantity,Price
133,Shoes,Household,1,342.43
225,Wallet,Household,1,623.21
290,Pants,Household,1,875.59
379,Mouse,Electronics,1,205.63
175,Bracelet,Household,2,537.39
233,Cushion,Clothing,2,532.40
409,Towel,Household,2,9.33
413,Sunglasses,Electronics,2,959.78
476,Charger,Household,2,880.08
14,Pants,Household,3,798.54
232,Mouse,Clothing,3,39.80
392,Table,Accessories,3,220.77
456,Table,Household,3,936.55
483,Table,Household,3,27.32
94,Mouse,Electronics,4,931.34
119,Lamp,Household,4,284.30
138,Keyboard,Electronics,4,281.49
155,Cushion,Household,4,542.24
217,Jacket,Clothing,4,321.13
404,USB Cable,Accessories,4,431.97
462,Blanket,Electronics,4,664.71
186,Smartwatch,Electronics,5,393.33
210,Wallet,Clothing,5,817.45
353,Handbag,Electronics,5,999.80
378,Vase,Household,5,22.26
40,Table,Electronics,6,133.29
149,Fan,Electronics,6,971.62
258,Headphones,Electronics,6,106.17
261,Ring,Clothing,6,882.17
390,Hard Drive,Household,6,935.00
441,Towel,Household,6,461.30
448,USB Cable,Electronics,6,536.88
11,Sunglasses,Electronics,7,898.95
92,Umbrella,Household,7,243.58
179,Speaker,Electronics,7,469.99
227,Gloves,Clothing,7,345.10
430,Table,Accessories,7,385.02
100,Backpack,Clothing,8,256.08
160,Hat,Accessories,8,720.75
182,Vase,Electronics,8,22.09
193,Camera,Electronics,8,934.80
256,Memory Card,Accessories,8,47.33
399,Shoes,Accessories,8,863.05
439,Printer,Household,8,583.60
69,Scarf,Household,9,377.95
83,Memory Card,Clothing,9,257.95
220,Sunglasses,Clothing,9,435.44
234,Pillow,Electronics,9,69.66
37,Umbrella,Clothing,10,67.81
78,Pants,Accessories,10,762.72
235,Suitcase,Household,10,865.47
20,Router,Household,12,284.52
152,Power Bank,Accessories,12,898.94
254,Sunglasses,Accessories,12,825.98
280,Watch,Household,12,965.00
326,Charger,Accessories,12,621.76
381,Flash Drive,Household,12,527.67
383,Suitcase,Household,12,372.78
477,Curtains,Clothing,12,860.34
436,Game Console,Household,13,54.27
150,Smartphone,Clothing,14,249.22
154,Bookshelf,Household,14,294.70
177,Printer,Accessories,14,398.42
315,Sunglasses,Electronics,14,311.23
401,Wallet,Electronics,14,694.61
429,Wallet,Accessories,14,374.89
403,Bracelet,Accessories,15,25.66
471,Clock,Accessories,15,774.97
