ID,Name,Category,Quantity,Price
509,Plastic Jar,Household,35,2.35
503,Mouse Pad,Electronics,125,2.50
507,Plastic Bowl,Household,258,3.50
508,Aluminium Tray,Household,55,5.48
501,Chinelo,Clothing,55,5.50
504,Mouse Pad,Electronics,256,5.50
298,Necklace,Household,72,8.26
409,Towel,Household,2,9.33
114,Charger,Electronics,30,9.34
362,Hat,Electronics,83,9.44
320,Vase,Household,40,9.91
219,Fan,Accessories,65,12.83
510,Pillow Soft,Household,45,13.00
511,Pillow Hard,Household,35,13.00
141,Sunglasses,Clothing,73,14.70
35,Ring,Clothing,52,14.92
356,Mouse,Household,89,16.15
474,Speaker,Household,25,16.93
22,Cushion,Clothing,80,18.19
182,Vase,Electronics,8,22.09
378,Vase,Household,5,22.26
91,Necklace,Accessories,89,24.22
358,Scarf,Accessories,100,24.87
345,Power Bank,Household,23,25.50
403,Bracelet,Accessories,15,25.66
483,Table,Household,3,27.32
33,Chair,Household,45,30.70
120,Umbrella,Clothing,82,33.58
172,Jacket,Clothing,65,37.80
373,Jacket,Electronics,72,37.98
232,Mouse,Clothing,3,39.80
196,Hard Drive,Accessories,73,40.58
382,Keyboard,Household,98,43.36
181,Backpack,Clothing,20,44.64
256,Memory Card,Accessories,8,47.33
27,Headphones,Accessories,42,47.43
8,Memory Card,Household,98,51.09
357,Smartwatch,Accessories,73,51.89
451,Charger,Household,87,53.41
436,Game Console,Household,13,54.27
222,Charger,Electronics,17,54.51
162,Headphones,Household,35,57.16
211,Headphones,Household,94,58.82
274,Power Bank,Accessories,90,58.93
252,Towel,Electronics,73,62.76
136,Speaker,Electronics,78,64.50
468,Monitor,Accessories,20,66.11
163,Hard Drive,Household,79,67.13
37,Umbrella,Clothing,10,67.81
377,Charger,Accessories,43,69.65
234,Pillow,Electronics,9,69.66
361,Earrings,Clothing,28,76.47
418,Wallet,Electronics,41,80.62
203,Watch,Household,50,87.57
464,Pants,Accessories,19,94.85
192,Shirt,Clothing,66,99.67
323,Bookshelf,Clothing,78,104.24
308,Curtains,Accessories,86,104.67
258,Headphones,Electronics,6,106.17
197,Camera,Clothing,18,108.00
292,Game Console,Clothing,43,112.70
67,Socks,Clothing,29,113.35
167,Backpack,Electronics,68,113.92
97,Clock,Electronics,61,125.27
402,Socks,Accessories,78,127.10
372,Fan,Household,61,129.61
122,Sunglasses,Accessories,54,131.10
305,Necklace,Electronics,38,132.88
40,Table,Electronics,6,133.29
16,Table,Accessories,92,133.90
263,Camera,Household,85,134.52
55,Shirt,Electronics,98,141.30
34,Belt,Clothing,68,141.90
107,Mirror,Clothing,59,142.22
344,Wallet,Household,49,143.29
458,Mouse,Accessories,20,144.07
101,Earrings,Accessories,86,144.70
267,Ring,Electronics,59,144.95
478,Shirt,Clothing,19,145.05
139,Table,Accessories,70,149.26
295,Handbag,Clothing,38,154.79
410,Bookshelf,Household,43,154.91
49,Sunglasses,Accessories,54,155.88
57,USB Cable,Electronics,50,156.16
285,Smartwatch,Household,86,156.58
18,Speaker,Household,24,160.18
105,Suitcase,Accessories,25,161.73
400,Necklace,Electronics,40,167.60
374,Pants,Electronics,60,169.77
190,Handbag,Accessories,58,176.27
205,Power Bank,Accessories,39,181.59
72,Monitor,Household,99,185.32
180,Watch,Accessories,81,188.27
475,Rug,Accessories,100,193.32
463,Flash Drive,Household,52,197.33
116,Tablet,Clothing,56,201.04
379,Mouse,Electronics,1,205.63
158,Wallet,Clothing,71,205.76
485,Scarf,Household,69,205.92
269,Memory Card,Accessories,34,207.16
194,Socks,Household,99,213.09
153,Jacket,Clothing,70,214.54
304,Printer,Accessories,97,216.48
313,Scarf,Household,37,217.66
446,USB Cable,Electronics,45,217.86
392,Table,Accessories,3,220.77
147,Hard Drive,Electronics,97,221.87
29,Monitor,Electronics,70,226.45
294,Keyboard,Clothing,77,226.78
391,Gloves,Accessories,32,228.29
431,Television,Accessories,66,230.92
369,Blanket,Electronics,67,232.64
328,Pants,Accessories,50,235.78
188,Shoes,Household,60,236.27
46,Fan,Electronics,97,238.15
137,Laptop,Clothing,61,240.41
499,Handbag,Household,55,242.59
92,Umbrella,Household,7,243.58
335,Camera,Household,38,244.24
426,USB Cable,Electronics,94,247.10
343,Earrings,Clothing,83,247.39
150,Smartphone,Clothing,14,249.22
247,Router,Accessories,45,249.92
208,Pants,Accessories,48,255.21
231,USB Cable,Household,38,255.48
455,Chair,Clothing,95,256.07
100,Backpack,Clothing,8,256.08
237,Printer,Electronics,41,256.22
415,Camera,Electronics,27,257.01
83,Memory Card,Clothing,9,257.95
151,Ring,Clothing,68,259.45
85,Pillow,Household,88,260.72
53,Fan,Accessories,32,263.21
26,Smartwatch,Accessories,59,264.70
223,Towel,Clothing,57,266.13
123,Clock,Accessories,81,267.76
424,Sunglasses,Accessories,75,268.84
351,Laptop,Accessories,34,268.85
479,Lamp,Electronics,40,274.04
131,Handbag,Electronics,61,274.31
138,Keyboard,Electronics,4,281.49
492,Laptop,Household,23,282.65
119,Lamp,Household,4,284.30
20,Router,Household,12,284.52
43,Shoes,Household,57,284.59
500,Mouse,Electronics,77,285.03
367,Ring,Accessories,55,287.09
130,Towel,Electronics,52,288.94
486,Power Bank,Clothing,99,289.35
112,Vase,Electronics,22,289.42
427,Speaker,Electronics,29,292.44
229,Lamp,Accessories,77,293.62
154,Bookshelf,Household,14,294.70
453,Necklace,Household,74,295.27
299,USB Cable,Clothing,87,298.51
75,Tablet,Clothing,80,311.09
315,Sunglasses,Electronics,14,311.23
54,Tablet,Electronics,32,311.76
363,Hard Drive,Electronics,54,313.37
164,USB Cable,Accessories,93,313.40
209,Monitor,Clothing,96,315.14
242,Pillow,Electronics,52,315.70
387,Suitcase,Clothing,42,316.16
80,Laptop,Household,91,318.46
316,Watch,Electronics,75,319.44
246,Smartphone,Electronics,74,321.01
217,Jacket,Clothing,4,321.13
19,Charger,Electronics,26,321.78
444,Backpack,Accessories,76,324.29
81,Router,Electronics,92,325.34
243,Ring,Electronics,18,331.15
64,Jacket,Electronics,65,331.55
148,Lamp,Clothing,22,332.95
257,Shoes,Electronics,54,336.64
303,Chair,Electronics,20,339.62
414,Cushion,Household,51,340.39
87,Smartwatch,Electronics,95,341.08
133,Shoes,Household,1,342.43
227,Gloves,Clothing,7,345.10
423,Mirror,Household,49,347.83
228,Gloves,Electronics,49,349.83
384,Printer,Electronics,16,351.41
366,Lamp,Clothing,87,352.55
48,Lamp,Clothing,48,353.80
283,Ring,Clothing,27,354.52
50,Ring,Clothing,98,361.05
238,Hat,Household,73,361.72
461,Charger,Clothing,78,366.56
278,Jacket,Clothing,87,366.88
128,Ring,Electronics,18,367.84
183,Jacket,Household,57,369.14
214,Bookshelf,Household,18,369.75
437,Monitor,Accessories,73,371.43
184,USB Cable,Accessories,44,371.59
383,Suitcase,Household,12,372.78
325,Gloves,Electronics,48,373.83
279,Gloves,Household,21,374.22
429,Wallet,Accessories,14,374.89
395,Umbrella,Household,87,375.85
69,Scarf,Household,9,377.95
433,Flash Drive,Electronics,47,384.51
23,Table,Clothing,37,385.02
430,Table,Accessories,7,385.02
30,Scarf,Clothing,89,386.28
314,Fan,Accessories,55,386.63
216,Wallet,Household,63,389.12
322,Hard Drive,Electronics,40,391.03
186,Smartwatch,Electronics,5,393.33
191,USB Cable,Accessories,59,395.96
245,Power Bank,Accessories,67,398.18
177,Printer,Accessories,14,398.42
428,Power Bank,Electronics,33,400.67
275,Memory Card,Clothing,76,405.31
268,Television,Clothing,42,405.34
398,Shirt,Electronics,96,407.68
